YEAR,MES,DIA,HORA,MINUTO,Temperatura,Humedad_Relativa,Presion_hPa
2008,1,16,12,0,24.7,97.3,1011.699
2008,1,16,13,0,24.7,97.2,1012.792
2008,1,16,14,0,24.9,96.9,1013.132
2008,1,16,15,0,25.2,96.4,1012.911
2008,1,16,16,0,25.3,96.2,1012.595
2008,1,16,17,0,25.4,96.2,1012.138
2008,1,16,18,0,25.5,96.2,1010.992
2008,1,16,19,0,25.5,96.3,1010.22
2008,1,16,20,0,25.4,96.4,1009.519
2008,1,16,21,0,25.4,96.3,1009.441
2008,1,16,22,0,25.3,96,1009.986
2008,1,16,23,0,25.3,96,1010.348
2008,1,17,0,0,25.4,95.8,1010.904
2008,1,17,1,0,25.4,95.8,1011.528
2008,1,17,2,0,25.4,95.8,1011.742
2008,1,17,3,0,25.4,95.8,1012.254
2008,1,17,4,0,25.4,95.9,1011.984
2008,1,17,5,0,25.4,95.8,1011.849
2008,1,17,6,0,25.3,95.8,1011.431
2008,1,17,7,0,25.2,95.8,1011.084
2008,1,17,8,0,25.2,95.8,1010.656
2008,1,17,9,0,25.1,95.9,1010.766
2008,1,17,10,0,25.3,95.3,1011.069
2008,1,17,11,0,25.3,95.5,1011.468
2008,1,17,12,0,25.4,95.3,1012.324
2008,1,17,13,0,25.5,95.2,1013.187
2008,1,17,14,0,25.6,95.1,1013.701
2008,1,17,15,0,25.6,95.3,1013.886
2008,1,17,16,0,25.5,95.4,1013.644
2008,1,17,17,0,25.5,95.5,1013.011
2008,1,17,18,0,25.5,95.5,1012.146
2008,1,17,19,0,25.5,95.7,1011.297
2008,1,17,20,0,25.5,95.7,1010.712
2008,1,17,21,0,25.4,95.9,1010.808
2008,1,17,22,0,25.5,96,1010.995
2008,1,17,23,0,25.6,95.9,1011.461
2008,1,18,0,0,25.6,95.6,1011.971
2008,1,18,1,0,25.6,95.7,1012.335
2008,1,18,2,0,25.6,95.8,1013.004
2008,1,18,3,0,25.6,95.7,1013.136
2008,1,18,4,0,25.7,95.5,1012.972
2008,1,18,5,0,25.6,95.5,1012.891
2008,1,18,6,0,25.6,95.5,1012.474
2008,1,18,7,0,25.6,95.5,1012.084
2008,1,18,8,0,25.6,95.4,1011.901
2008,1,18,9,0,25.5,95.5,1011.965
2008,1,18,10,0,25.3,96,1012.568
2008,1,18,11,0,25.3,96,1013.051
2008,1,18,12,0,25,96.5,1013.858
2008,1,18,13,0,24.8,96.7,1014.559
2008,1,18,14,0,25,96.4,1015.012
2008,1,18,15,0,25.1,96.2,1014.909
2008,1,18,16,0,25.2,96.1,1014.572
2008,1,18,17,0,25.3,96,1013.71
2008,1,18,18,0,25.5,95.9,1012.454
2008,1,18,19,0,25.4,96.2,1011.555
2008,1,18,20,0,25.4,96.4,1010.651
2008,1,18,21,0,25.4,96.5,1010.604
2008,1,18,22,0,25.5,96.6,1010.934
2008,1,18,23,0,25.6,96.4,1011.208
2008,1,19,0,0,25.6,96.3,1011.462
2008,1,19,1,0,25.6,96.4,1011.746
2008,1,19,2,0,25.6,96.4,1012.829
2008,1,19,3,0,25.6,96.4,1012.681
2008,1,19,4,0,25.6,96.2,1012.662
2008,1,19,5,0,25.5,96.2,1012.428
2008,1,19,6,0,25.4,96.4,1011.744
2008,1,19,7,0,25.3,96.5,1011.406
2008,1,19,8,0,25.2,96.6,1011.28
2008,1,19,9,0,25.1,96.9,1011.337
2008,1,19,10,0,25.2,96.5,1011.911
2008,1,19,11,0,25,96.6,1012.458
2008,1,19,12,0,24.9,96.7,1013.094
2008,1,19,13,0,24.9,96.9,1013.963
2008,1,19,14,0,25,96.8,1014.621
2008,1,19,15,0,25.1,96.7,1014.632
2008,1,19,16,0,25.3,96.5,1014.151
2008,1,19,17,0,25.3,96.5,1013.324
2008,1,19,18,0,25.3,96.6,1012.186
2008,1,19,19,0,25.3,96.6,1011.313
2008,1,19,20,0,25.4,96.7,1010.439
2008,1,19,21,0,25.4,96.9,1010.396
2008,1,19,22,0,25.4,97.1,1010.687
2008,1,19,23,0,25.4,97,1010.682
2008,1,20,0,0,25.5,96.7,1011.364
2008,1,20,1,0,25.5,96.4,1011.711
2008,1,20,2,0,25.5,96.4,1012.516
2008,1,20,3,0,25.3,96.9,1012.601
2008,1,20,4,0,25.3,97,1012.383
2008,1,20,5,0,25.3,96.9,1012.408
2008,1,20,6,0,25.2,96.9,1011.705
2008,1,20,7,0,25.2,96.4,1011.046
2008,1,20,8,0,25.2,96.2,1010.788
2008,1,20,9,0,25.1,96.2,1010.838
2008,1,20,10,0,25.1,96.4,1011.342
2008,1,20,11,0,25,96.4,1012.077
2008,1,20,12,0,25.1,96.2,1012.599
2008,1,20,13,0,25.2,96.3,1013.546
2008,1,20,14,0,25.2,96.5,1014.266
2008,1,20,15,0,25.3,96.5,1014.29
2008,1,20,16,0,25.5,96.3,1014.146
2008,1,20,17,0,25.6,96.3,1013.396
2008,1,20,18,0,25.6,96.4,1012.426
2008,1,20,19,0,25.5,96.5,1011.541
2008,1,20,20,0,25.4,96.5,1010.993
2008,1,20,21,0,25.3,96.7,1011.1
2008,1,20,22,0,25.3,96.9,1011.358
2008,1,20,23,0,25.2,96.9,1011.911
2008,1,21,0,0,25.2,96.8,1012.444
2008,1,21,1,0,25.3,96.4,1013.34
2008,1,21,2,0,25.4,95.5,1013.781
2008,1,21,3,0,25.4,95.1,1014.324
2008,1,21,4,0,25.3,95.1,1014.357
2008,1,21,5,0,25.3,94.9,1014.626
2008,1,21,6,0,25.3,95.1,1014.113
2008,1,21,7,0,25.3,95.3,1013.702
2008,1,21,8,0,25.2,95.1,1013.599
2008,1,21,9,0,25.2,95,1013.661
2008,1,21,10,0,25.4,94.3,1013.467
2008,1,21,11,0,25.2,94.8,1013.736
2008,1,21,12,0,25.1,95.6,1014.741
2008,1,21,13,0,25.2,95.4,1015.114
2008,1,21,14,0,25.2,95.4,1015.747
2008,1,21,15,0,25.3,95.4,1016.079
2008,1,21,16,0,25.5,95.3,1015.716
2008,1,21,17,0,25.5,95.3,1014.694
2008,1,21,18,0,25.5,95.2,1013.566
2008,1,21,19,0,25.5,95.2,1012.812
2008,1,21,20,0,25.4,95.3,1012.127
2008,1,21,21,0,25.3,95.8,1012.068
2008,1,21,22,0,25.4,95.5,1012.218
2008,1,21,23,0,25.4,95.6,1012.628
2008,1,22,0,0,25.5,95.4,1012.747
2008,1,22,1,0,25.5,95.4,1013.161
2008,1,22,2,0,25.5,95.1,1013.566
2008,1,22,3,0,25.3,95.4,1013.578
2008,1,22,4,0,25.2,95.6,1013.671
2008,1,22,5,0,25.2,95.7,1013.559
2008,1,22,6,0,25.3,95.4,1012.794
2008,1,22,7,0,25.3,95.6,1012.419
2008,1,22,8,0,25.3,95.7,1012.33
2008,1,22,9,0,25.4,95.7,1011.981
2008,1,22,10,0,25.3,96,1012.07
2008,1,22,11,0,25.4,96.1,1012.744
2008,1,22,12,0,25.4,96.1,1013.247
2008,1,22,13,0,25.5,95.5,1013.957
2008,1,22,14,0,25.5,95.8,1014.389
2008,1,22,15,0,25.5,95.9,1014.499
2008,1,22,16,0,25.6,95.7,1014.012
2008,1,22,17,0,25.5,95.7,1013.469
2008,1,22,18,0,25.5,95.7,1012.714
2008,1,22,19,0,25.5,95.7,1011.289
2008,1,22,20,0,25.4,96,1010.912
2008,1,22,21,0,25.3,96.2,1010.493
2008,1,22,22,0,25.1,96.7,1010.779
2008,1,22,23,0,24.9,97,1011.374
2008,1,23,0,0,24.9,97.1,1011.536
2008,1,23,1,0,24.9,97,1011.996
2008,1,23,2,0,25,96.9,1012.711
2008,1,23,3,0,25,97,1012.749
2008,1,23,4,0,25,97.1,1012.669
2008,1,23,5,0,25,96.8,1012.431
2008,1,23,6,0,24.9,96.9,1011.982
2008,1,23,7,0,24.7,97.2,1011.392
2008,1,23,8,0,24.7,97.2,1011.051
2008,1,23,9,0,24.6,97.1,1010.937
2008,1,23,10,0,24.7,97.1,1011.112
2008,1,23,11,0,24.6,96.9,1011.787
2008,1,23,12,0,24.6,96.9,1012.676
2008,1,23,13,0,24.7,96.7,1013.356
2008,1,23,14,0,24.8,96.6,1013.964
2008,1,23,15,0,25,96.1,1013.809
2008,1,23,16,0,25.2,95.4,1013.627
2008,1,23,17,0,25.4,95.3,1012.981
2008,1,23,18,0,25.4,95.5,1012.095
2008,1,23,19,0,25.4,95.6,1011.269
2008,1,23,20,0,25.3,95.8,1010.401
2008,1,23,21,0,25.3,95.9,1010.677
2008,1,23,22,0,25.3,96.2,1010.792
2008,1,23,23,0,25.3,96.3,1011.468
2008,1,24,0,0,25.3,96.4,1011.324
2008,1,24,1,0,25.3,96.2,1012.119
2008,1,24,2,0,25.3,96.1,1012.51
2008,1,24,3,0,25.2,96.2,1012.789
2008,1,24,4,0,25.2,96.3,1012.515
2008,1,24,5,0,25.2,96.1,1012.569
2008,1,24,6,0,25,96.2,1011.922
2008,1,24,7,0,24.9,96.1,1011.257
2008,1,24,8,0,24.9,96.1,1010.949
2008,1,24,9,0,24.8,95.9,1010.972
2008,1,24,10,0,24.9,95.8,1011.272
2008,1,24,11,0,24.9,95.7,1012.144
2008,1,24,12,0,25,95.2,1012.935
2008,1,24,13,0,25,95.3,1013.605
2008,1,24,14,0,25.1,95.6,1014.177
2008,1,24,15,0,25.1,95.8,1014.011
2008,1,24,16,0,25.3,95.8,1013.419
2008,1,24,17,0,25.4,95.7,1012.772
2008,1,24,18,0,25.4,95.7,1011.928
2008,1,24,19,0,25.5,95.8,1011.114
2008,1,24,20,0,25.5,96.1,1010.284
2008,1,24,21,0,25.4,96.1,1010.274
2008,1,24,22,0,25.1,96.6,1010.829
2008,1,24,23,0,25.1,96.7,1011.34
2008,1,25,0,0,25.1,96.7,1011.332
2008,1,25,1,0,25.2,96.5,1012.021
2008,1,25,2,0,25.2,96.3,1012.488
2008,1,25,3,0,25.2,96.4,1012.664
2008,1,25,4,0,25.1,96.4,1012.714
2008,1,25,5,0,25.1,96.4,1012.434
2008,1,25,6,0,25,96.5,1012.198
2008,1,25,7,0,24.9,96.5,1011.818
2008,1,25,8,0,24.8,96.6,1011.524
2008,1,25,9,0,24.7,96.8,1011.884
2008,1,25,10,0,24.9,96.1,1012.367
